Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D100,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-122.254338,0,top
D101,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-125.834338,0,top
D102,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-130.014338,0,top
D103,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,83.932166,-138.354338,0,top
D104,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,84.247166,-141.964338,0,top
D105,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,85.352166,-148.894338,0,top
D106,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,242.672166,-299.514338,0,top
D107,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,244.857166,-295.714338,0,top
D108,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,247.027166,-291.634338,0,top
D109,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,248.2,-287.35,0,top
D110,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,253.887166,-277.664338,0,top
D111,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,255.527166,-274.904338,0,top
D112,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,258.507166,-272.134338,0,top
D113,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,260.662166,-268.884338,0,top
D114,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,261.897166,-265.294338,0,top
D115,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,262.317166,-262.694338,0,top
D116,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,243.767166,-273.284338,0,top
D117,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,233.007166,-240.554338,0,top
D118,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,230.962166,-234.114338,0,top
D119,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,231.157166,-230.284338,0,top
D120,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,226.057166,-215.354338,0,top
D121,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,229.677166,-212.234338,0,top
D122,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,233.397166,-209.044338,0,top
D123,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,220.672166,-219.554338,180,top
D124,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,218.197166,-222.174338,180,top
D125,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,215.812166,-225.684338,180,top
D126,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,213.177166,-230.504338,180,top
D127,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,209.982166,-234.574338,180,top
